Code,Name,Batch,Stock,Deal,Free,Mrp,Rate,Exp,Company,Supplier,SupplierID
CIL63,LEVOLIN-0.63 RESPULES,L800172,-16,0,0,24.5,17.5,01-02-2022,CIPLA(RESP 3 NEBULIZATION),CIPLA LIMITED  HYDERABAD,6
CCNR4,NORFLOX 400MG TAB,RC0033,1,5,1,58.66,41.9,01-02-2022,CIPLA (SPEETRACARE+1),CIPLA LIMITED  HYDERABAD,6
DRODS,OMEZ-D SR CAP,E000378,-2,0,0,161.5,115.36,01-02-2022,DR.REDDY`S LAB`S(AQURA+SG),DR REDDY`S LABORATORIES LTD   HYDERABAD,25
DRODS,OMEZ-D SR CAP,E000484,2,0,0,161.5,115.36,01-02-2022,DR.REDDY`S LAB`S(AQURA+SG),DR REDDY`S LABORATORIES LTD   HYDERABAD,25
INDO5,OXIPOD 50MG SYRUP,OBK1CBB8,-1,8,2,81.9,58.5,01-02-2022,INDOCO,INDOCO REMEDIES LTD(INDOC)    HYDERABAD,11
INDO5,OXIPOD 50MG SYRUP,OBK6CBB8,1,8,2,81.9,58.5,01-02-2022,INDOCO,INDOCO REMEDIES LTD(INDOC)    HYDERABAD,11
IVMNP,MELONEX PLUS INJ,Y189,41,5,1,150,107.14,01-02-2022,INTAS PHARMA (NEOVET),INTAS PHARMCEUTICALS LTD HYDERABAD,46
KRRNX,ROBINAXOL TAB ***,UTGRLA824,8,10,1,74.1,52.95,01-02-2022,KHANDELWAL (RADON),LAKSHMI VENKATESWARA PHARMA   HYDERABAD,13
PBLL6,LIVO-LUK KID SYR,52619008,5,0,0,67.4,55.34,01-02-2022,PANACEA-BIOTEC LTD(GROW CARE),LAKSHMI VENKATESWARA PHARMACEU  NARASARAOPETA,56
MACGM,GEMINOR M-2,HMQ20012A,-2,0,0,140.8,100.57,01-02-2022,MACLEODS (PROCARE) AHT,MACLEODS PHARMACEUTICALS LTD  HYDERABAD   TEL,5
MDPDO,PANDERM ++ ONT,KPC20121A,-2,6,1,88.75,63.39,01-02-2022,MACLEODS  (MACPHAR),MACLEODS PHARMACEUTICALS LTD  HYDERABAD   TEL,5
MDPDO,PANDERM ++ ONT,KPC2095A,2,6,1,88.75,63.39,01-02-2022,MACLEODS  (MACPHAR),MACLEODS PHARMACEUTICALS LTD  HYDERABAD   TEL,5
MKTMF,TEXAKIND-MF TABS,C0HST023,1,11,1,209.3,149.5,01-02-2022,MANKIND(DISCOVERY),MANKIND PHARMA (DISCOVERY)HYDERABAD,67
MKTMF,TEXAKIND-MF TABS,C0HST026,-1,11,1,209.3,149.5,01-02-2022,MANKIND(DISCOVERY),MANKIND PHARMA (DISCOVERY)HYDERABAD,67
122261R,AMLOKIND-AT TABS,A9IAT043,2,11,1,25.58,18.27,01-02-2022,MANKIND PHARMA LTD.,MANKIND PHARMA LTD HYDERABAD,62
122285R,NUFORCE-150 TABS,I3AFS006,40,11,1,21.9,15.64,01-02-2022,MANKIND PHARMA LTD.,MANKIND PHARMA LTD HYDERABAD,62
122297R,TELMIKIND-40 TABS,B5IAT080,2,0,0,34.04,24.31,01-02-2022,MANKIND PHARMA LTD.,MANKIND PHARMA LTD HYDERABAD,62
XXCKS,GIFT ITEM,BAG,2,0,0,1,0.95,01-02-2022,GIFT ARTICALS,MED MANOR ORGANICS PVT LT     HYDERABAD,4
MEDKU,KUFRIL LS DROPS,HKL167,-3,10,2,56,40,01-02-2022,MED MANOR ORGANICS  (PD),MED MANOR ORGANICS PVT LT     HYDERABAD,4
MEEV2,EVION 200MG CAPS,M01BN19027,24,0,0,15.85,11.33,01-02-2022,MERCK,MERCK LIMITED                 HYDERABAD,49
MEPBS,POLYBION -LC SYR,M15FE19123,19,0,0,62.92,44.94,01-02-2022,MERCK,MERCK LIMITED                 HYDERABAD,49
MEPBS,POLYBION -LC SYR,M15FE19137,72,0,0,62.92,44.94,01-02-2022,MERCK,MERCK LIMITED                 HYDERABAD,49
CBVS7,VOVERAN SR 75MG TABS,193001MB,30,0,0,85.8,61.29,01-02-2022,NOVARTIS INDIA LTD.(MPBU),NOVARTIS INDIA LIMITED        HYDERABAD,15
SUAPC,AB-PHYLLINE CAPS**,ESX0476,-1,0,0,123,87.86,01-02-2022,SUN PHARMACEUTICAL I LTD,PRUDHVI AGENCIES VIJAYAWADA,8
SUNGE05,GEMER 0.5 TABS**,EMX0781,-5,0,0,29.75,21.25,01-02-2022,SUN PHARMACEUTICAL I LTD,PRUDHVI AGENCIES VIJAYAWADA,8
SNGM1,GEMER-1 **,EMX0707,-2,0,0,77.25,55.18,01-02-2022,SUN PHARMACEUTICAL I LTD,PRUDHVI AGENCIES VIJAYAWADA,8
USVSR,GLYCOMET 850MG SR TABS **,28020521,-1,0,0,35.19,25.14,01-02-2022,USV PHARMA,PRUDHVI PHARMACEUTICALS VIJAYAWADA,22
ETUCT,ULTRACET TABS **,N1466,1,0,0,201,143.57,01-02-2022,ETHNOR,PRUDHVI PHARMACEUTICALS VIJAYAWADA,22
122261R,AMLOKIND-AT TABS,A9IAT075,-2,11,1,25.58,18.27,01-02-2022,MANKIND PHARMA LTD.,SARADA PHARMACY      MADHIRA,1
VER2S,FEPANIL 250MG SYP,FLH20C12,253,10,1,39.61,28.29,01-02-2022,VERITAZ HEALTHCARE LIMITED,VERITAZ HEALTHCARE LIMITED    HYDERABAD,31
LGDWE,DEWAX EAR DROPS**,CSX487,1,10,2,105.35,75.25,01-02-2022,LEGEND DRUGS & FORMS,VIJAYA DURGA AGENCIES   VIJAYAWADA,23
IPZDP,ZERODOL-P TABS **,RW520022AS,8,0,0,50,35.72,01-02-2022,IPCA,VIJAYA DURGA AGENCIES   VIJAYAWADA,23
WLLX1,LYNX AMP,LD1943,390,0,0,9.85,7.03,01-02-2022,WALLACE PHARMA,WALLACE PHARMACEUTICALS PVT.LTHYDERABAD,3
IVCS5,CAL SHAKTI,SY0552,39,5,1,82,65.6,01-02-2022,INTAS PHARMA (BOVICURRA),WALLACE PHARMACEUTICALS PVT.LTHYDERABAD,3
H&HDBC,DERMADEW BACT SOAP,H037,1,0,0,175,118.64,01-02-2022,H&H PHARMA (HEALTHCARE),WALLACE PHARMACEUTICALS PVT.LTHYDERABAD,3
MARFOLT,FOLACIN TABS,KZ19001,59,0,0,14.56,10.92,01-02-2022,MARS TERAPEUTICS & CHEMICALS LTD,WALLACE PHARMACEUTICALS PVT.LTHYDERABAD,3
WILLX3,LYNX 500MG CAPS,LAL9031,34,0,0,126.5,90.36,01-02-2022,WALLACE PHARMA,WALLACE PHARMACEUTICALS PVT.LTHYDERABAD,3
PPMETR,METROQUIN 0 TABS,V359002,10,10,2,97.9,69.93,01-02-2022,PHARMA PRODUCTS (VIVIMED),WALLACE PHARMACEUTICALS PVT.LTHYDERABAD,3
KRRNX,ROBINAXOL TAB ***,UTGRLA822,1,10,1,74.1,52.95,01-02-2022,KHANDELWAL (RADON),WALLACE PHARMACEUTICALS PVT.LTHYDERABAD,3
122299R,TELMIKIND-H TABS,B1IAT033,6,0,0,66.55,47.54,01-02-2022,MANKIND PHARMA LTD.,WALLACE PHARMACEUTICALS PVT.LTHYDERABAD,3
CIASR,ASTHALIN RESP LOT,SA00737,30,0,0,11.59,8.28,31-01-2022,CIPLA,CIPLA LIMITED  HYDERABAD,6
CSDLI,DUOLIN CFC FREE INHLER,BA00678,20,0,0,281.93,201.38,31-01-2022,CIPLA(RESP 2),CIPLA LIMITED  HYDERABAD,6
CSF2R,FORACORT 200 RCAPS,SA00621,1,0,0,165.64,118.31,31-01-2022,CIPLA(RESP 2),CIPLA LIMITED  HYDERABAD,6
DRMCD,MUCOLITE DROPS,DD0016,120,0,0,28,20,31-01-2022,DR.REDDYS (VENTURA),DR REDDY`S LABORATORIES LTD   HYDERABAD,25
DXOR4,OLSERTAIN-40MG TABS,G20OLA004,5,0,0,139.5,99.64,31-01-2022,DR.REDDY`S LAB`S(XENURA),DR REDDY`S LABORATORIES LTD   HYDERABAD,25
DXOR4,OLSERTAIN-40MG TABS,G20OLA005,-5,0,0,139.5,99.64,31-01-2022,DR.REDDY`S LAB`S(XENURA),DR REDDY`S LABORATORIES LTD   HYDERABAD,25
DROH2,OLSERTAIN-H 20MG TABS,G20OHA003,-40,0,0,110,78.57,31-01-2022,DR.REDDY`S LAB`S(XENURA),DR REDDY`S LABORATORIES LTD   HYDERABAD,25
DCRZD,RAZO-D CAP`S,A08382008,2,0,0,246.95,176.39,31-01-2022,DR.REDDY`S LAB`S(RECURA),DR REDDY`S LABORATORIES LTD   HYDERABAD,25
DXRXR,RECLIDE-XR 60MG TABS,E000132,3,0,0,184,131.43,31-01-2022,DR.REDDY`S LAB`S(XENURA),DR REDDY`S LABORATORIES LTD   HYDERABAD,25
REDVA,VANTEJ PASTE,B.BV0025,12,0,0,238,161.35,31-01-2022,DR.REDDY`S LAB`S(RECURA ACE),DR REDDY`S LABORATORIES LTD   HYDERABAD,25
TOBC2,BETACARD-25MG TAB,2170F001D,27,0,0,37,26.43,31-01-2022,TORRENT PHARMACEUTICALS LTD,TORRENT PHARMACEUTICALS LTD   HYDERABAD,24
KHHUM,HUMAN-MIXTARD 100 (UNITS),JT6S418,9,0,0,410,328,01-01-2022,KNOLL (NOVOLET),ABBOTT INDIA LIMITED   HYDERABAD,41
KNDMS,DIGENE MINT SYR,DNB0012,5,0,0,115,82.14,01-01-2022,ABBOTT (CONSUMER CARE),ABBOTT INDIA LIMITED HYDERABAD,21
KNDMS,DIGENE MINT SYR,DNB0009,18,0,0,115,82.14,01-01-2022,ABBOTT (CONSUMER CARE),ABBOTT INDIA LIMITED HYDERABAD,21
ABDUP,DUPHALAC SYRUP,141112D7,20,0,0,505.58,385.2,01-01-2022,ABBOTT (WH&GI),ABBOTT INDIA LIMITED HYDERABAD,21
ABBDU,DUPHALAC SYRUP,DRA0001,40,0,0,168.53,128.4,01-01-2022,ABBOTT (WH&GI),ABBOTT INDIA LIMITED HYDERABAD,21
KNGT5,GANATON 50MG,GAA0002,30,0,0,125.78,89.84,01-01-2022,ABBOTT (GASTROCARE),ABBOTT INDIA LIMITED HYDERABAD,21
ABT12,THYRONORM 12.5MG TABS,AEF0528,70,0,0,177.41,126.72,01-01-2022,ABBOTT (METABOLICS),ABBOTT INDIA LIMITED HYDERABAD,21
ABTTH,THYRONORM 125MG TAB,AEF0489,40,0,0,201.11,143.65,01-01-2022,ABBOTT (METABOLICS),ABBOTT INDIA LIMITED HYDERABAD,21
ABTTH,THYRONORM 125MG TAB,AEF0509,40,0,0,201.11,143.65,01-01-2022,ABBOTT (METABOLICS),ABBOTT INDIA LIMITED HYDERABAD,21
ABT15,THYRONORM-150MG TABS,AEF0399,80,0,0,202.53,144.66,01-01-2022,ABBOTT (METABOLICS),ABBOTT INDIA LIMITED HYDERABAD,21
ABTR2,THYRONORM-25MG TABS,AEF0577,80,0,0,172.03,122.88,01-01-2022,ABBOTT (METABOLICS),ABBOTT INDIA LIMITED HYDERABAD,21
ABTR2,THYRONORM-25MG TABS,AEF0608,420,0,0,172.03,122.88,01-01-2022,ABBOTT (METABOLICS),ABBOTT INDIA LIMITED HYDERABAD,21
ABTN2,THYRONORM-50MG TABS,AEF0651,80,0,0,128.91,92.08,01-01-2022,ABBOTT (METABOLICS),ABBOTT INDIA LIMITED HYDERABAD,21
ABTN2,THYRONORM-50MG TABS,AEF0692,510,0,0,128.91,92.08,01-01-2022,ABBOTT (METABOLICS),ABBOTT INDIA LIMITED HYDERABAD,21
ABT88,THYRONORM-88 MCG TABS,AEF0579,60,0,0,201.11,143.65,01-01-2022,ABBOTT (METABOLICS),ABBOTT INDIA LIMITED HYDERABAD,21
ACAL5,ALTHROCIN 500MG TAB,2008000196,34,0,0,84,60,01-01-2022,ALEMBIC LTD(MAXIS DIVISION),ALEMBIC PHARMACEUTICALS LTD   HYDERABAD,35
ACAL5,ALTHROCIN 500MG TAB,2008000198,30,0,0,84,60,01-01-2022,ALEMBIC LTD(MAXIS DIVISION),ALEMBIC PHARMACEUTICALS LTD   HYDERABAD,35
ACALD,ALTHROCIN DROPS,2008000169,14,0,0,35.5,25.36,01-01-2022,ALEMBIC LTD(MAXIS DIVISION),ALEMBIC PHARMACEUTICALS LTD   HYDERABAD,35
ACAZ5,AZITHRAL 500MG TAB,2008000171,9,0,0,116.7,83.36,01-01-2022,ALEMBIC CHEMICALS (MEGACARE),ALEMBIC PHARMACEUTICALS LTD   HYDERABAD,35
ACTZA,TELLZY-AM TABS,2008000210,60,0,0,206.6,147.57,01-01-2022,ALEMBIC  (DABUR) INDIA LIMITED,ALEMBIC PHARMACEUTICALS LTD   HYDERABAD,35
ACTZL,TELLZY-H TABS,2008000217,30,0,0,205.4,146.71,01-01-2022,ALEMBIC  (DABUR) INDIA LIMITED,ALEMBIC PHARMACEUTICALS LTD   HYDERABAD,35
ACZEE,ZEET EXP SYR,2008000201,120,9,1,92.85,66.32,01-01-2022,ALEMBIC LTD(MAXIS DIVISION),ALEMBIC PHARMACEUTICALS LTD   HYDERABAD,35
ALTOD,TAXIM-O PED DROPS,20460138,100,0,0,55.5,39.64,01-01-2022,ALKEM (PHARMA),ALKEM LABORATORIES LIMITED    MALKAJGIRI (DIS,18
ALTOD,TAXIM-O PED DROPS,20460138,33,0,0,55.5,39.64,01-01-2022,ALKEM (PHARMA),ALKEM LABORATORIES LIMITED    MALKAJGIRI (DIS,18
ARISOFL4,MONTINA L TABS,DPB200243,50,0,0,55,39.29,01-01-2022,ARISTO PHARMA,ARISTO PHARMACEUTICALS PVT LTDHYDERABAD,42
ASSMC,SMUTH CREAM,S0683,20,0,0,106.6,76.14,01-01-2022,ARISTO (MAIN FORCE-2),ARISTO PHARMACEUTICALS PVT LTDHYDERABAD,42
ASSSS,SMUTH SUSP,MPB200473,50,0,0,108,77.14,01-01-2022,ARISTO (MAIN FORCE-2),ARISTO PHARMACEUTICALS PVT LTDHYDERABAD,42
SARST,STECLIN  INJ,J000403,118,0,0,29,20.71,01-01-2022,SARABHAI VET,CADILA HEALTHCARE LTD  (ANIMAL) HYDERABAD,70
CIASR,ASTHALIN RESP LOT,SA00695,25,0,0,11.59,8.28,01-01-2022,CIPLA,CIPLA LIMITED  HYDERABAD,6
CIACF,ASTHALIN-CFC FREE INH,SA01019,40,0,0,139.13,99.38,01-01-2022,CIPLA(RESP 3 LEGACY),CIPLA LIMITED  HYDERABAD,6
CIPAX,AZEE 200 XL DRY SYP,A300037,28,9,1,100.97,72.12,01-01-2022,CIPLA(NURTURE 1),CIPLA LIMITED  HYDERABAD,6
CILLR,LEVOLIN-0.31 RESP,L800104,16,0,0,20.35,14.5,01-01-2022,CIPLA(RESP 3 NEBULIZATION),CIPLA LIMITED  HYDERABAD,6
CIMX2,METOLAR-XR 25MG CAP,BA00439,30,0,0,66.3,47.36,01-01-2022,CIPLA(VITALIS 1),CIPLA LIMITED  HYDERABAD,6
CIPMN,MONTAIR-LC KID SYP,GL0123,32,0,0,105.1,75.07,01-01-2022,CIPLA(NURTURE 1),CIPLA LIMITED  HYDERABAD,6
CSS2R,SEROFLO 250MG R/C,SA00623,30,0,0,356.34,254.53,01-01-2022,CIPLA(RESP 1),CIPLA LIMITED  HYDERABAD,6
DRBZ1,BECOZINC CAP,V000096,20,0,0,28.6,20.43,01-01-2022,DR.REDDY`S LAB`S(AQURA+SG),DR REDDY`S LABORATORIES LTD   HYDERABAD,25
DRMCS,MUCOLITE SYR,L0004,91,0,0,85.5,61.07,01-01-2022,DR.REDDYS (VENTURA),DR REDDY`S LABORATORIES LTD   HYDERABAD,25
DROH2,OLSERTAIN-H 20MG TABS,G20OHA002,40,0,0,110,78.57,01-01-2022,DR.REDDY`S LAB`S(XENURA),DR REDDY`S LABORATORIES LTD   HYDERABAD,25
DCRZD,RAZO-D CAP`S,A08382007,-2,0,0,246.95,176.39,01-01-2022,DR.REDDY`S LAB`S(RECURA),DR REDDY`S LABORATORIES LTD   HYDERABAD,25
ERELHT,ERITEL H TAB,GERH20001,40,0,0,193.25,138.04,01-01-2022,ERIS LIFESCIENCES PVT LTD,ERIS LIFE SCIENCES LTD     HYDERABAD,37
ETRCF,RARICAP FORTE TAB,GRAE20001,40,0,0,263.78,188.41,01-01-2022,ERIS (MONTANA),ERIS LIFE SCIENCES LTD     HYDERABAD,37
ERIT6,TAYO 60K TABS,GTYK20002,10,0,0,185.97,132.84,01-01-2022,ERIS  (ADURA),ERIS LIFE SCIENCES LTD     HYDERABAD,37
FIGTS,GRILINCTUS SYR,M20012,100,10,1,104.63,74.74,01-01-2022,FRANCO INDIAN  (ZINDA 2),FRANCO-INDIAN PHARMACEUTICALS HYDERABAD,43
GDBC3,BETNOVATE-C SKIN CREAM,NH553,1,0,0,48.5,34.64,01-01-2022,GLAXOSMITHKLINE(CTC TEAM),GLAXOSMITHKLINE PHARMA LIM   HYDERABADA,38
INGG1,CLOBEN-G CRM,CCT3BB4,60,5,1,101.7,72.64,01-01-2022,INDOCO,INDOCO REMEDIES LTD(INDOC)    HYDERABAD,11
ISFPD,FEBREX PLUS DROPS,FAE1BBA1,85,9,1,64.1,45.79,01-01-2022,INDOCO (SPADE),INDOCO REMEDIES LTD(INDOC)    HYDERABAD,11
VERFD,FEPANIL DROPS,FDH20B02,110,10,1,26.2,18.71,01-01-2022,VERITAZ HEALTHCARE LIMITED,INDOCO REMEDIES LTD(INDOC)    HYDERABAD,11
UQRT1S,RANTAC-150MG TABS,DR320012,10,0,0,24.17,17.27,01-01-2022,J.B. CHE&PHARMA LIMITED,J.B.CHEMICALS AND PHARMA      SECUNDERABAD,12
HEGD1,GLUCON-D PACKS**,S06754,279,0,0,28,21.2,01-01-2022,HEINZ INDIA LIMITED,JAI GANESH ENTERPRISES WARANGAL,47
HEGD2,GLUCON-D PACKS** 250`GM,S06857,66,0,0,57,43.1,01-01-2022,HEINZ INDIA LIMITED,JAI GANESH ENTERPRISES WARANGAL,47
MIALA,AMLONG-A TAB**,AMDS0119,40,0,0,112,80,01-01-2022,MICRO LABS,LAKSHMI BALAJI CORPORATION VIJAYAWADA,10
BIOB3,BASALOG REFIL,81GH30115,3,0,0,1666.62,1333.3,01-01-2022,BIOCON (CITIUS),LAKSHMI VENKATESWARA MEDICAL HALL GUNTUR,26
MACPD,PANDERM NM ONT,KPC2044A,96,6,1,88.75,63.39,01-01-2022,MACLEODS  (MACPHAR),MACLEODS PHARMACEUTICALS LTD  HYDERABAD   TEL,5
MLTR2,THYROX 25MG TAB,MTA013A,-1,0,0,143.36,102.4,01-01-2022,MACLEODS (PROCARE) HD,MACLEODS PHARMACEUTICALS LTD  HYDERABAD   TEL,5
MLTR2,THYROX 25MG TAB,MTA024A,1,0,0,143.36,102.4,01-01-2022,MACLEODS (PROCARE) HD,MACLEODS PHARMACEUTICALS LTD  HYDERABAD   TEL,5
MANPF,PANTAKIND-FLUX CAP,B2GKT002,-2,0,0,112.72,80.51,01-01-2022,MANKIND(DISCOVERY),MANKIND PHARMA (DISCOVERY)HYDERABAD,67
MKAPD,ASTHAKIND-P DROPS,A0FZT006,120,5,1,60.5,43.21,01-01-2022,MANKIND(LIFESTAR),MANKIND PHARMA (LIFESTAR)HYDERABAD,57
MKGKE,GATIKIND EYE DROPS,A7AQT001,1,10,3,60,42.86,01-01-2022,MANKIND(LIFESTAR),MANKIND PHARMA (LIFESTAR)HYDERABAD,57
MKSMS,SCABELICE MEDICATED SOAP,F4IBT032,-2,11,1,75.9,51.46,01-01-2022,MANKIND(LIFESTAR),MANKIND PHARMA (LIFESTAR)HYDERABAD,57
MANTT,TERBINAFORCE TAB,J6AGT008,-1,11,1,82.77,59.12,01-01-2022,MANKIND(LIFESTAR),MANKIND PHARMA (LIFESTAR)HYDERABAD,57
MKLPT,LECOPE TABS,D7AGT006,15,0,0,22.44,16.03,01-01-2022,MANKIND PHARMA LTD.,MANKIND PHARMA LTD HYDERABAD,62
MKLPT,LECOPE TABS,D7AGT011,-15,0,0,22.44,16.03,01-01-2022,MANKIND PHARMA LTD.,MANKIND PHARMA LTD HYDERABAD,62
122297R,TELMIKIND-40 TABS,B5IAT054,-2,0,0,34.04,24.31,01-01-2022,MANKIND PHARMA LTD.,MANKIND PHARMA LTD HYDERABAD,62
122299R,TELMIKIND-H TABS,B1IAT024,-6,0,0,66.55,47.54,01-01-2022,MANKIND PHARMA LTD.,MANKIND PHARMA LTD HYDERABAD,62
122304R,VOMIKIND-MD 4 TABS,D4IAT003,10,5,1,39.7,28.36,01-01-2022,MANKIND PHARMA LTD.,MANKIND PHARMA LTD HYDERABAD,62
122304R,VOMIKIND-MD 4 TABS,D4IAT004,-10,5,1,39.7,28.36,01-01-2022,MANKIND PHARMA LTD.,MANKIND PHARMA LTD HYDERABAD,62
MADXS,DM-X SYP,BM15010,-4,9,1,78,55.71,01-01-2022,MARS TERAPEUTICS & CHEMICALS LTD,MARS PHARMA PRIVATE LIMITED HYDERABAD,33
MECON,EVION 600 MG CAP,M01BR19041,21,0,0,38.96,27.82,01-01-2022,MERCK,MERCK LIMITED                 HYDERABAD,49
PFGLS,GELUSIL ORIGINAL  LIQ,2019415E,12,0,0,159,113.56,01-01-2022,PFIZER (PAIN),PFIZER LIMITED HYDERABAD,9
PDGMS,GELUSIL-MPS LIQ,2019045E,87,0,0,110,78.56,01-01-2022,PFIZER (PAIN),PFIZER LIMITED HYDERABAD,9
ZUNMAXT,MAXTRA DROPS**,Z06AJ20007,1,9,1,69,49.29,01-01-2022,GENARAL COMPANY,PRADEEP MEDICAL AGENCIES      HANAMKONDA,64
SUNGE05,GEMER 0.5 TABS**,EMX0658,5,0,0,29.75,21.25,01-01-2022,SUN PHARMACEUTICAL I LTD,PRUDHVI AGENCIES VIJAYAWADA,8
SNGM1,GEMER-1 **,EMX0604,2,0,0,77.25,55.18,01-01-2022,SUN PHARMACEUTICAL I LTD,PRUDHVI AGENCIES VIJAYAWADA,8
USPRO,PROLOMET XL 50 TABS**,ESX0139,-3,0,0,63.17,45.12,01-01-2022,SUN PHARMACEUTICAL I LTD,PRUDHVI AGENCIES VIJAYAWADA,8
USDBO,DEROBIN ONT **,DB0080,-2,0,0,90.75,64.82,01-01-2022,USV PHARMA,PRUDHVI PHARMACEUTICALS VIJAYAWADA,22
USVSR,GLYCOMET 850MG SR TABS **,28020433,1,0,0,35.19,25.14,01-01-2022,USV PHARMA,PRUDHVI PHARMACEUTICALS VIJAYAWADA,22
ETUCT,ULTRACET TABS **,N1448,-4,0,0,201,143.57,01-01-2022,ETHNOR,PRUDHVI PHARMACEUTICALS VIJAYAWADA,22
ETUCT,ULTRACET TABS **,N1452,-1,0,0,201,143.57,01-01-2022,ETHNOR,PRUDHVI PHARMACEUTICALS VIJAYAWADA,22
DULFX,DULCOFLEX SUP (C),SC20011,30,0,0,46.19,34.64,01-01-2022,AVENTIES(BASE),SARADA PHARMACY      MADHIRA,1
EDEV1,ELDERVIT-12 AMP ***,EP0196,2,11,1,27.1,19.6,01-01-2022,ELDER PHARMACEUTICALS LTD (ELVISTA),SARADA PHARMACY      MADHIRA,1
MDPDO,PANDERM ++ ONT,KPC2070A,66,6,1,88.75,63.39,01-01-2022,MACLEODS  (MACPHAR),SARADA PHARMACY      MADHIRA,1
PARM3,MOOV CREAM **,JK828,96,0,0,109,82.04,01-01-2022,PARAS PHARMACETICALS,SRI SHASTHA ENTERPRISES KHAMMAM,51
PARM3,MOOV CREAM **,JK88,-96,0,0,109,82.04,01-01-2022,PARAS PHARMACETICALS,SRI SHASTHA ENTERPRISES KHAMMAM,51
PAMOS,MOOV SPRAY**,B19089B,44,0,0,130,100.94,01-01-2022,PARAS PHARMACETICALS,SRI SHASTHA ENTERPRISES KHAMMAM,51
UCAP2,AMPOXIN 250MG CAP,MFU9G001,-2,20,1,42.75,30.54,01-01-2022,TORRENT (UVA),TORRENT PHARMACEUTICALS LTD   HYDERABAD,24
TORLT1,LAMITOR 100 DT TAB,2JH4G001,18,0,0,362,258.57,01-01-2022,TORRENT PHARMA,TORRENT PHARMACEUTICALS LTD   HYDERABAD,24
DERMBAHH,DERMADEW BABY CREAM,B043,20,0,0,159,107.8,01-01-2022,H&H PHARMA (HEALTHCARE),VEGAVAAN PHARMA      SECUNDERABAD,30
H&HHDL,DERMADEW BABY LOTION,B081,10,0,0,120,81.36,01-01-2022,H&H PHARMA (WELLNESS),VEGAVAAN PHARMA      SECUNDERABAD,30
H&HKZC,KZ CREAM,HH084,21,0,0,209,149.29,01-01-2022,H&H PHARMA (HEALTHCARE),VEGAVAAN PHARMA      SECUNDERABAD,30
VIEGL,ENROGEN ORAL LIQUID,LEN20002,29,0,0,144,80.64,01-01-2022,VETINDIA,VET INDIA PHARMACEUTICALS     HYDERABAD,66
WLFCS,FLUCOLD SYR,FSR003A,200,9,1,45.7,32.64,01-01-2022,WALLACE PHARMA,WALLACE PHARMACEUTICALS PVT.LTHYDERABAD,3
BIBT1,BIOTAX 1GM VIAL,F000266,847,5,1,37.06,26.47,01-01-2022,BIOCHEM PHARMA,ZYDUS HEALTHCARE LIMITED      HYDERABAD,16
BIBT2,BIOTAX 250MG VIAL,F000274,1,5,1,16.87,12.05,01-01-2022,BIOCHEM PHARMA,ZYDUS HEALTHCARE LIMITED      HYDERABAD,16
MACBUD1,BUDETROL 200 INHALER,NFC907A,2,0,0,297.5,212.5,01-01-2022,MACLEODS (GENCARE),ZYDUS HEALTHCARE LIMITED      HYDERABAD,16
GECPD,CALPOL PEAD DROP,KB501,225,0,0,26.54,18.96,01-01-2022,GLAXOSMITHKLINE(FORTIOR),ZYDUS HEALTHCARE LIMITED      HYDERABAD,16
KWGMT,GLICLAZ-M  TABS ***,UTGGMA823,14,10,1,87.67,62.63,01-01-2022,KHANDELWAL (XENON),ZYDUS HEALTHCARE LIMITED      HYDERABAD,16
PPLPT,LYMPEDIM TAB,PPB01902,5,0,0,148.3,105.93,01-01-2022,PHARMA PRODUCTS P LTD,ZYDUS HEALTHCARE LIMITED      HYDERABAD,16
MDM45,MAXOTAZ-4.5MG,LTC985A,39,10,2,232.88,166.34,01-01-2022,MACLEODS(TB CARE),ZYDUS HEALTHCARE LIMITED      HYDERABAD,16
NVMF4,MIFEX IV,MXI19039DC,131,0,0,280,181.5,01-01-2022,NOVARTIS (VET) INDIA LIMITED,ZYDUS HEALTHCARE LIMITED      HYDERABAD,16
NCPR2,PARAXIN 250MG CAPS ***,PXB9012,52,0,0,85.22,56.81,01-01-2022,ABBOT,ZYDUS HEALTHCARE LIMITED      HYDERABAD,16
SPPCT,PYRIN-C TAB,63TPN029,49,10,3,40,28.57,01-01-2022,SAPCO LABORATORIES P LTD,ZYDUS HEALTHCARE LIMITED      HYDERABAD,16
PTAZD,AZEE 100MG DT,SA00482,60,0,0,22.99,16.42,31-12-2021,CIPLA(NURTURE 1),CIPLA LIMITED  HYDERABAD,6
CIPDU,DUOLIN FORTE ROTACAPS,SA00436,16,0,0,136.29,97.35,31-12-2021,CIPLA(RESP 2),CIPLA LIMITED  HYDERABAD,6
CSDLR,DUOLIN ROTACAPS,BA00208,60,0,0,77.59,55.42,31-12-2021,CIPLA(RESP 2),CIPLA LIMITED  HYDERABAD,6
CSFMN,FLOMIST NASAL SPRAY,SA00434,10,0,0,319.44,228.17,31-12-2021,CIPLA(RESP AR),CIPLA LIMITED  HYDERABAD,6
CSLLI,LEVOLIN CFC FREE INHELAR,SA00412,13,0,0,192.99,137.85,31-12-2021,CIPLA(RESP 1),CIPLA LIMITED  HYDERABAD,6
CILEV,LEVOLIN ROTACAPS,SA00617,65,0,0,27.76,19.83,31-12-2021,CIPLA(RESP 1),CIPLA LIMITED  HYDERABAD,6
